SCLK,LMST,LTST,LOCAL_RELATIVE_HUMIDITY,LOCAL_RELATIVE_HUMIDITY_UNCERTAINTY,HUMIDITY_LOCAL_TEMP,HUMIDITY_LOCAL_TEMP_UNCERTAINTY,VOLUME_MIXING_RATIO,VOLUME_MIXING_RATIO_UNCERTAINTY
667042685,00001M16:09:06.404,0001 15:31:36,,,274.69,,,
667042686,00001M16:09:07.377,0001 15:31:37,,,274.67,,,
667042687,00001M16:09:08.351,0001 15:31:38,,,274.71,,,
667042688,00001M16:09:09.324,0001 15:31:39,,,274.68,,,
667042689,00001M16:09:10.297,0001 15:31:40,,,274.71,,,
667042690,00001M16:09:11.270,0001 15:31:41,,,274.66,,,
667042691,00001M16:09:12.244,0001 15:31:42,,,274.68,,,
667042692,00001M16:09:13.217,0001 15:31:43,,,274.66,,,
667042693,00001M16:09:14.190,0001 15:31:44,,,274.65,,,
667042694,00001M16:09:15.163,0001 15:31:45,,,274.64,,,
667042695,00001M16:09:16.137,0001 15:31:46,,,274.74,,,
667042696,00001M16:09:17.110,0001 15:31:47,,,274.70,,,
667042697,00001M16:09:18.083,0001 15:31:48,,,274.68,,,
667042698,00001M16:09:19.056,0001 15:31:49,,,274.75,,,
667042699,00001M16:09:20.030,0001 15:31:50,,,274.67,,,
667042700,00001M16:09:21.003,0001 15:31:51,,,274.69,,,
667042701,00001M16:09:21.976,0001 15:31:52,,,274.67,,,
667042702,00001M16:09:22.949,0001 15:31:53,,,274.75,,,
667042703,00001M16:09:23.923,0001 15:31:54,,,274.67,,,
667042704,00001M16:09:24.896,0001 15:31:55,,,274.69,,,
667042705,00001M16:09:25.869,0001 15:31:56,,,274.65,,,
667042706,00001M16:09:26.842,0001 15:31:57,,,274.76,,,
667042707,00001M16:09:27.816,0001 15:31:58,,,274.68,,,
667042708,00001M16:09:28.789,0001 15:31:59,,,274.73,,,
667042709,00001M16:09:29.762,0001 15:31:59,,,274.73,,,
667042710,00001M16:09:30.735,0001 15:32:00,,,274.73,,,
667042711,00001M16:09:31.709,0001 15:32:01,,,274.65,,,
667042712,00001M16:09:32.682,0001 15:32:02,,,274.71,,,
667042713,00001M16:09:33.655,0001 15:32:03,,,274.77,,,
667042714,00001M16:09:34.628,0001 15:32:04,,,274.75,,,
667042715,00001M16:09:35.602,0001 15:32:05,,,274.74,,,
667042716,00001M16:09:36.575,0001 15:32:06,,,274.73,,,
667042717,00001M16:09:37.548,0001 15:32:07,,,274.71,,,
667042718,00001M16:09:38.521,0001 15:32:08,,,274.75,,,
667042719,00001M16:09:39.495,0001 15:32:09,,,274.69,,,
667042720,00001M16:09:40.468,0001 15:32:10,,,274.74,,,
667042721,00001M16:09:41.441,0001 15:32:11,,,274.68,,,
667042722,00001M16:09:42.414,0001 15:32:12,,,274.79,,,
667042723,00001M16:09:43.388,0001 15:32:13,,,274.74,,,
667042724,00001M16:09:44.361,0001 15:32:14,,,274.79,,,
667042725,00001M16:09:45.334,0001 15:32:15,,,274.72,,,
667042726,00001M16:09:46.307,0001 15:32:16,,,274.74,,,
667042727,00001M16:09:47.281,0001 15:32:17,,,274.67,,,
667042728,00001M16:09:48.254,0001 15:32:18,,,274.77,,,
667042729,00001M16:09:49.227,0001 15:32:19,,,274.67,,,
667042730,00001M16:09:50.200,0001 15:32:20,,,274.75,,,
667042731,00001M16:09:51.174,0001 15:32:21,,,274.75,,,
667042732,00001M16:09:52.147,0001 15:32:22,,,274.72,,,
667042733,00001M16:09:53.120,0001 15:32:23,,,274.71,,,
667042734,00001M16:09:54.093,0001 15:32:24,,,274.74,,,
